METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:341 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:726 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:744 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:1028 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:678 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:641 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:403 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:646 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:481 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:41 DATE:2020-04-28
METHOD:GET URI:/api/products/ STATUS:200 RESPONSE_TIME:602 DATE:2020-04-28
